zip_code,procedure_code,drug_name
31058,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
31058,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
31058,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
31058,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
31058,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
31058,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
31058,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
32003,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
32003,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
32003,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
32003,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
32003,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
32003,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
32003,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
32003,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
32003,169418113,Ozempic 2MG/3ML Solution Pen-injector
32003,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
32003,597015230,Jardiance 10MG Tablet
32003,597015330,Jardiance 25MG Tablet
32003,13668013610,Escitalopram Oxalate 10MG Tablet
32003,13668013710,Escitalopram Oxalate 20MG Tablet
32003,43547028211,Escitalopram Oxalate 20MG Tablet
32003,50111056003,traZODone HCl 50MG Tablet
32003,57237000511,Fluconazole 150MG Tablet
32003,61958250101,Biktarvy 50-200-25MG Tablet
32004,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
32004,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
32004,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
32004,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
32004,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
32004,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
32004,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
32004,70954006020,predniSONE 20MG Tablet
32008,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
32008,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
32008,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
32008,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
32008,2149580,Mounjaro 5MG/0.5ML Solution Pen-injector
32008,2150680,Mounjaro 2.5MG/0.5ML Solution Pen-injector
32008,2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector
32008,2822259,Insulin Lispro (1 Unit Dial) 100UNIT/ML Solution Pen-injector
32008,54327099,Fluticasone Propionate 50MCG/ACT Suspension
32008,88221905,Lantus SoloStar 100UNIT/ML Solution Pen-injector
32008,93310905,Amoxicillin 500MG Capsule
32008,93317431,"Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution"
32008,169413013,Ozempic (1 MG/DOSE) 4MG/3ML Solution Pen-injector
32008,169418113,Ozempic 2MG/3ML Solution Pen-injector
32008,169477212,Ozempic (2 MG/DOSE) 8MG/3ML Solution Pen-injector
32008,172208380,hydroCHLOROthiazide 25MG Tablet
32008,310737020,Budesonide-Formoterol Fumarate 160-4.5MCG/ACT Aerosol
32008,406012301,HYDROcodone-Acetaminophen 5-325MG Tablet
32008,430042014,Lo Loestrin Fe 1 MG-10 MCG /10 MCG Tablet
32008,555901658,Sprintec 28 0.25-35MG-MCG Tablet
32008,597015230,Jardiance 10MG Tablet
32008,597015330,Jardiance 25MG Tablet
32008,603459315,methylPREDNISolone 4MG Tablet Therapy Pack
32008,13668013610,Escitalopram Oxalate 10MG Tablet
32008,13668013710,Escitalopram Oxalate 20MG Tablet
32008,27808023302,Doxycycline Hyclate 100MG Capsule
32008,29300012510,Meloxicam 15MG Tablet
32008,29300012810,hydroCHLOROthiazide 25MG Tablet
32008,29300024405,busPIRone HCl 5MG Tablet
32008,29300024505,busPIRone HCl 10MG Tablet
32008,29300039705,amLODIPine Besylate 5MG Tablet
32008,29300039710,amLODIPine Besylate 5MG Tablet
32008,29300039810,amLODIPine Besylate 10MG Tablet
32008,31722070110,Losartan Potassium 50MG Tablet
32008,31722070210,Losartan Potassium 100MG Tablet
32008,42806040021,methylPREDNISolone 4MG Tablet Therapy Pack
32008,43547028211,Escitalopram Oxalate 20MG Tablet
32008,43547036111,Losartan Potassium 50MG Tablet
32008,43547036211,Losartan Potassium 100MG Tablet
32008,51991074810,DULoxetine HCl 60MG Capsule Delayed Release Particles
32008,55111015810,Omeprazole 20MG Capsule Delayed Release
32008,55111064505,Omeprazole 40MG Capsule Delayed Release
32008,57237000511,Fluconazole 150MG Tablet
32008,59651036205,Ibuprofen 800MG Tablet
32008,60505082901,Fluticasone Propionate 50MCG/ACT Suspension
32008,61958250101,Biktarvy 50-200-25MG Tablet
32008,65862000899,metFORMIN HCl 500MG Tablet
32008,65862001305,Sertraline HCl 100MG Tablet
32008,65862001501,Amoxicillin 875MG Tablet
32008,65862042005,Sulfamethoxazole-Trimethoprim 800-160MG Tablet
32008,65862050320,Amoxicillin-Pot Clavulanate 875-125MG Tablet
32008,65862059805,Tamsulosin HCl 0.4MG Capsule
32008,66993001968,"Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution"
32008,67877015905,metFORMIN HCl ER 500MG Tablet Extended Release 24 HR
32008,67877021905,Cephalexin 500MG Capsule
32008,68180072103,amLODIPine Besylate 10MG Tablet
32008,68180086111,Azithromycin 250MG Tablet
32008,68180096301,"Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution"
32008,68180097903,Lisinopril 40MG Tablet
32008,68180098003,Lisinopril 10MG Tablet
32008,68180098103,Lisinopril 20MG Tablet
32008,68382005105,Meloxicam 15MG Tablet
32008,68382013210,Tamsulosin HCl 0.4MG Capsule
32008,68382050010,Omeprazole 40MG Capsule Delayed Release
32008,68462039710,Omeprazole 40MG Capsule Delayed Release
32008,69097012715,amLODIPine Besylate 5MG Tablet
32008,69097014260,"Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution"
32008,69097083412,Sertraline HCl 50MG Tablet
32008,69097083512,Sertraline HCl 100MG Tablet
32008,70010049105,metFORMIN HCl ER 500MG Tablet Extended Release 24 HR
32008,70377007813,Atorvastatin Calcium 20MG Tablet
32008,70954006020,predniSONE 20MG Tablet
32008,72205002299,Atorvastatin Calcium 10MG Tablet
32008,72205002399,Atorvastatin Calcium 20MG Tablet
32008,72205002499,Atorvastatin Calcium 40MG Tablet
32011,2145780,Mounjaro 15MG/0.5ML Solution Pen-injector
32011,2146080,Mounjaro 12.5MG/0.5ML Solution Pen-injector
32011,2147180,Mounjaro 10MG/0.5ML Solution Pen-injector
32011,2148480,Mounjaro 7.5MG/0.5ML Solution Pen-injector
